"EstadoCivil";"Genero";"Email";"IngresoAnual";"TotalHijos";"Educacion";"Ocupacion";"Propietario";"CantAutomoviles";"Distancia";"Region";"Edad";"confidence(1)";"confidence(0)";"Comprará bicicleta"
"C";"M";"david41@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"1";"1";"2-5 Km.";"Norte";"52";"0.7297297297297297";"0.2702702702702703";"1"
"S";"M";"miguel68@mineriadedatos.com.ar";"50000";"0";"Estudios universitarios (en curso)";"Obrero especializado";"0";"1";"2-5 Km.";"Norte";"45";"0.7297297297297297";"0.2702702702702703";"1"
"C";"M";"ruben2@mineriadedatos.com.ar";"30000";"0";"Educaci�n secundaria";"Obrero";"0";"1";"1-2 Km.";"Centro";"42";"0.5984990619136961";"0.40150093808630394";"1"
"S";"F";"abigail32@mineriadedatos.com.ar";"50000";"2";"Licenciatura";"Obrero especializado";"0";"0";"0-1 Km.";"Norte";"44";"0.8333333333333334";"0.16666666666666666";"1"
"S";"F";"kate14@mineriadedatos.com.ar";"130000";"4";"Educaci�n secundaria";"Profesional";"0";"3";"0-1 Km.";"Centro";"61";"1.0";"0.0";"1"
"S";"M";"tristan12@mineriadedatos.com.ar";"30000";"0";"Educaci�n secundaria";"Obrero";"0";"1";"1-2 Km.";"Centro";"39";"0.5984990619136961";"0.40150093808630394";"1"
"S";"F";"cindy27@mineriadedatos.com.ar";"50000";"2";"Estudios de postgrado";"Gesti�n";"1";"2";"5-10 Km.";"Norte";"76";"0.7142857142857143";"0.2857142857142857";"1"
"S";"F";"sara12@mineriadedatos.com.ar";"70000";"1";"Licenciatura";"Profesional";"0";"1";"0-1 Km.";"Norte";"51";"0.9285714285714286";"0.07142857142857142";"1"
"S";"M";"frank31@mineriadedatos.com.ar";"30000";"2";"Estudios universitarios (en curso)";"Administrativo";"1";"1";"0-1 Km.";"Centro";"48";"0.7878787878787878";"0.21212121212121213";"1"
"S";"M";"clayton27@mineriadedatos.com.ar";"10000";"0";"Estudios universitarios (en curso)";"Obrero";"0";"1";"2-5 Km.";"Sur";"32";"0.9166666666666666";"0.08333333333333333";"1"
"C";"M";"adam10@mineriadedatos.com.ar";"20000";"2";"Educaci�n secundaria (en curso)";"Administrativo";"1";"2";"1-2 Km.";"Sur";"63";"0.5555555555555556";"0.4444444444444444";"1"
"S";"M";"jay50@mineriadedatos.com.ar";"30000";"3";"Estudios de postgrado";"Administrativo";"1";"0";"0-1 Km.";"Centro";"53";"0.8701298701298701";"0.12987012987012986";"1"
"C";"F";"robin14@mineriadedatos.com.ar";"80000";"2";"Educaci�n secundaria";"Obrero especializado";"1";"2";"5-10 Km.";"Sur";"56";"0.5776173285198556";"0.4223826714801444";"1"
"C";"M";"tyler16@mineriadedatos.com.ar";"70000";"3";"Estudios de postgrado";"Profesional";"1";"0";"2-5 Km.";"Norte";"42";"0.9375";"0.0625";"1"
"C";"M";"marvin16@mineriadedatos.com.ar";"40000";"1";"Licenciatura";"Obrero especializado";"1";"0";"0-1 Km.";"Centro";"47";"0.6666666666666666";"0.3333333333333333";"1"
"S";"F";"jada15@mineriadedatos.com.ar";"70000";"2";"Licenciatura";"Obrero especializado";"1";"1";"2-5 Km.";"Norte";"45";"0.9038461538461539";"0.09615384615384616";"1"
"S";"M";"eduardo14@mineriadedatos.com.ar";"60000";"4";"Licenciatura";"Obrero especializado";"0";"2";"0-1 Km.";"Norte";"48";"0.5714285714285714";"0.42857142857142855";"1"
"C";"F";"julia56@mineriadedatos.com.ar";"70000";"5";"Licenciatura";"Gesti�n";"1";"2";"10+ Km.";"Norte";"70";"0.6666666666666666";"0.3333333333333333";"1"
"S";"F";"jill7@mineriadedatos.com.ar";"40000";"0";"Educaci�n secundaria";"Obrero especializado";"0";"2";"1-2 Km.";"Norte";"34";"1.0";"0.0";"1"
"S";"F";"meagan12@mineriadedatos.com.ar";"90000";"0";"Licenciatura";"Profesional";"1";"3";"10+ Km.";"Sur";"40";"0.6451612903225806";"0.3548387096774194";"1"
"S";"M";"jarrod0@mineriadedatos.com.ar";"70000";"0";"Licenciatura";"Profesional";"0";"2";"0-1 Km.";"Sur";"49";"1.0";"0.0";"1"
"C";"F";"kristi13@mineriadedatos.com.ar";"70000";"0";"Estudios universitarios (en curso)";"Profesional";"1";"2";"5-10 Km.";"Norte";"40";"0.8823529411764706";"0.11764705882352941";"1"
"S";"F";"emma6@mineriadedatos.com.ar";"60000";"3";"Licenciatura";"Profesional";"0";"0";"0-1 Km.";"Norte";"54";"0.5";"0.5";"1"
"S";"F";"sheena10@mineriadedatos.com.ar";"60000";"1";"Licenciatura";"Profesional";"1";"1";"5-10 Km.";"Sur";"52";"1.0";"0.0";"1"
"S";"M";"edward49@mineriadedatos.com.ar";"70000";"1";"Licenciatura";"Profesional";"0";"1";"2-5 Km.";"Norte";"51";"0.8333333333333334";"0.16666666666666666";"1"
"C";"F";"taylor12@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"1";"1";"2-5 Km.";"Norte";"53";"0.7297297297297297";"0.2702702702702703";"1"
"S";"F";"sharon20@mineriadedatos.com.ar";"40000";"3";"Estudios universitarios (en curso)";"Administrativo";"1";"2";"1-2 Km.";"Norte";"38";"1.0";"0.0";"1"
"C";"F";"brandy0@mineriadedatos.com.ar";"40000";"1";"Licenciatura";"Obrero especializado";"1";"1";"1-2 Km.";"Centro";"40";"0.9545454545454546";"0.045454545454545456";"1"
"C";"M";"marshall21@mineriadedatos.com.ar";"110000";"1";"Estudios de postgrado";"Gesti�n";"1";"1";"5-10 Km.";"Sur";"44";"1.0";"0.0";"1"
"C";"M";"randy22@mineriadedatos.com.ar";"10000";"0";"Estudios universitarios (en curso)";"Obrero";"0";"1";"0-1 Km.";"Sur";"34";"1.0";"0.0";"1"
"C";"M";"luke5@mineriadedatos.com.ar";"100000";"0";"Educaci�n secundaria";"Gesti�n";"1";"3";"10+ Km.";"Sur";"40";"0.5776173285198556";"0.4223826714801444";"1"
"C";"F";"cristina4@mineriadedatos.com.ar";"100000";"4";"Licenciatura";"Gesti�n";"1";"2";"0-1 Km.";"Sur";"54";"1.0";"0.0";"1"
"C";"M";"dalton59@mineriadedatos.com.ar";"70000";"4";"Estudios de postgrado";"Profesional";"1";"0";"0-1 Km.";"Norte";"46";"0.9285714285714286";"0.07142857142857142";"1"
"S";"M";"roberto14@mineriadedatos.com.ar";"40000";"4";"Estudios universitarios (en curso)";"Administrativo";"1";"2";"1-2 Km.";"Norte";"41";"1.0";"0.0";"1"
"S";"M";"xavier73@mineriadedatos.com.ar";"70000";"3";"Estudios de postgrado";"Profesional";"0";"0";"0-1 Km.";"Norte";"42";"0.9285714285714286";"0.07142857142857142";"1"
"C";"M";"terry12@mineriadedatos.com.ar";"60000";"1";"Licenciatura";"Profesional";"1";"1";"0-1 Km.";"Sur";"50";"0.9655172413793104";"0.034482758620689655";"1"
"S";"F";"tamara19@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"0";"1";"0-1 Km.";"Sur";"52";"0.9";"0.1";"1"
"S";"M";"randall24@mineriadedatos.com.ar";"70000";"1";"Licenciatura";"Profesional";"0";"1";"0-1 Km.";"Norte";"51";"0.9285714285714286";"0.07142857142857142";"1"
"S";"M";"jay13@mineriadedatos.com.ar";"120000";"0";"Educaci�n secundaria (en curso)";"Profesional";"1";"4";"10+ Km.";"Sur";"41";"0.5776173285198556";"0.4223826714801444";"1"
"S";"F";"kayla36@mineriadedatos.com.ar";"50000";"0";"Estudios de postgrado";"Obrero especializado";"1";"0";"1-2 Km.";"Norte";"39";"0.9285714285714286";"0.07142857142857142";"1"
"C";"F";"kaylee27@mineriadedatos.com.ar";"70000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"1";"1";"0-1 Km.";"Norte";"51";"1.0";"0.0";"1"
"S";"F";"hannah8@mineriadedatos.com.ar";"60000";"0";"Estudios universitarios (en curso)";"Obrero especializado";"0";"2";"1-2 Km.";"Norte";"37";"0.5";"0.5";"1"
"C";"F";"megan11@mineriadedatos.com.ar";"80000";"3";"Estudios de postgrado";"Profesional";"0";"0";"0-1 Km.";"Norte";"44";"0.9285714285714286";"0.07142857142857142";"1"
"C";"M";"william22@mineriadedatos.com.ar";"60000";"4";"Licenciatura";"Obrero especializado";"1";"2";"2-5 Km.";"Norte";"48";"0.6153846153846154";"0.38461538461538464";"1"
"S";"M";"adrian2@mineriadedatos.com.ar";"90000";"0";"Licenciatura";"Profesional";"0";"4";"10+ Km.";"Sur";"43";"0.6451612903225806";"0.3548387096774194";"1"
"S";"M";"bob6@mineriadedatos.com.ar";"100000";"0";"Educaci�n secundaria";"Gesti�n";"1";"4";"10+ Km.";"Sur";"42";"0.5776173285198556";"0.4223826714801444";"1"
"S";"M";"bryant20@mineriadedatos.com.ar";"20000";"0";"Estudios universitarios (en curso)";"Obrero";"0";"0";"0-1 Km.";"Sur";"36";"1.0";"0.0";"1"
"C";"F";"linda18@mineriadedatos.com.ar";"70000";"0";"Estudios universitarios (en curso)";"Profesional";"1";"2";"5-10 Km.";"Norte";"40";"0.8823529411764706";"0.11764705882352941";"1"
"S";"M";"ramon10@mineriadedatos.com.ar";"40000";"2";"Estudios universitarios (en curso)";"Administrativo";"1";"1";"1-2 Km.";"Centro";"42";"0.9166666666666666";"0.08333333333333333";"1"
"S";"M";"justin17@mineriadedatos.com.ar";"30000";"0";"Educaci�n secundaria";"Obrero especializado";"0";"2";"1-2 Km.";"Norte";"38";"1.0";"0.0";"1"
"C";"M";"hunter60@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"1";"1";"2-5 Km.";"Norte";"52";"0.7297297297297297";"0.2702702702702703";"1"
"C";"M";"randy5@mineriadedatos.com.ar";"30000";"3";"Estudios universitarios (en curso)";"Administrativo";"0";"2";"1-2 Km.";"Sur";"63";"1.0";"0.0";"1"
"S";"M";"thomas17@mineriadedatos.com.ar";"60000";"3";"Estudios de postgrado";"Gesti�n";"1";"2";"10+ Km.";"Norte";"71";"1.0";"0.0";"1"
"S";"M";"jermaine4@mineriadedatos.com.ar";"30000";"1";"Licenciatura";"Administrativo";"0";"0";"1-2 Km.";"Centro";"46";"0.5";"0.5";"1"
"C";"F";"brittany14@mineriadedatos.com.ar";"70000";"2";"Estudios de postgrado";"Profesional";"1";"0";"2-5 Km.";"Norte";"41";"0.9375";"0.0625";"1"
"S";"M";"jason11@mineriadedatos.com.ar";"80000";"2";"Educaci�n secundaria";"Obrero especializado";"1";"2";"5-10 Km.";"Sur";"57";"0.5776173285198556";"0.4223826714801444";"1"
"S";"F";"misty8@mineriadedatos.com.ar";"30000";"0";"Licenciatura";"Administrativo";"1";"0";"0-1 Km.";"Centro";"42";"0.9545454545454546";"0.045454545454545456";"1"
"C";"M";"alvin12@mineriadedatos.com.ar";"30000";"4";"Estudios de postgrado";"Administrativo";"1";"0";"0-1 Km.";"Centro";"52";"0.8701298701298701";"0.12987012987012986";"1"
"C";"M";"alvin5@mineriadedatos.com.ar";"30000";"0";"Licenciatura";"Administrativo";"0";"0";"0-1 Km.";"Centro";"42";"0.9545454545454546";"0.045454545454545456";"1"
"C";"F";"michelle16@mineriadedatos.com.ar";"60000";"2";"Estudios universitarios (en curso)";"Profesional";"1";"2";"2-5 Km.";"Norte";"63";"0.8571428571428571";"0.14285714285714285";"1"
"C";"M";"austin8@mineriadedatos.com.ar";"50000";"2";"Licenciatura";"Obrero especializado";"1";"0";"2-5 Km.";"Norte";"44";"0.9038461538461539";"0.09615384615384616";"1"
"C";"M";"jon24@mineriadedatos.com.ar";"90000";"2";"Licenciatura";"Profesional";"1";"0";"1-2 Km.";"Sur";"47";"1.0";"0.0";"1"
"C";"M";"timothy14@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"1";"1";"2-5 Km.";"Norte";"51";"0.7297297297297297";"0.2702702702702703";"1"
"S";"F";"hailey40@mineriadedatos.com.ar";"30000";"4";"Estudios universitarios (en curso)";"Administrativo";"1";"1";"0-1 Km.";"Centro";"35";"0.7878787878787878";"0.21212121212121213";"1"
"C";"F";"ashley40@mineriadedatos.com.ar";"50000";"1";"Licenciatura";"Obrero especializado";"1";"0";"2-5 Km.";"Norte";"42";"0.9038461538461539";"0.09615384615384616";"1"
"C";"M";"lucas85@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"0";"1";"0-1 Km.";"Norte";"52";"0.6097560975609756";"0.3902439024390244";"1"
"C";"M";"damien14@mineriadedatos.com.ar";"20000";"3";"Educaci�n secundaria";"Obrero";"1";"1";"0-1 Km.";"Centro";"50";"0.7567567567567568";"0.24324324324324326";"1"
"C";"M";"joel18@mineriadedatos.com.ar";"30000";"3";"Educaci�n secundaria";"Obrero especializado";"1";"2";"5-10 Km.";"Sur";"62";"0.6190476190476191";"0.38095238095238093";"1"
"C";"M";"connor45@mineriadedatos.com.ar";"40000";"1";"Estudios universitarios (en curso)";"Administrativo";"1";"1";"1-2 Km.";"Norte";"57";"0.6666666666666666";"0.3333333333333333";"1"
"C";"M";"miguel5@mineriadedatos.com.ar";"80000";"5";"Estudios de postgrado";"Profesional";"1";"0";"0-1 Km.";"Norte";"54";"0.9285714285714286";"0.07142857142857142";"1"
"C";"M";"terrance1@mineriadedatos.com.ar";"20000";"2";"Estudios universitarios (en curso)";"Obrero";"1";"1";"0-1 Km.";"Centro";"53";"0.7567567567567568";"0.24324324324324326";"1"
"S";"M";"philip20@mineriadedatos.com.ar";"70000";"0";"Licenciatura";"Profesional";"0";"2";"10+ Km.";"Sur";"37";"0.8";"0.2";"1"
"C";"F";"lindsey2@mineriadedatos.com.ar";"20000";"2";"Educaci�n secundaria (en curso)";"Administrativo";"1";"2";"5-10 Km.";"Sur";"61";"0.5555555555555556";"0.4444444444444444";"1"
"S";"F";"anna25@mineriadedatos.com.ar";"60000";"2";"Licenciatura";"Obrero especializado";"0";"0";"0-1 Km.";"Norte";"45";"0.8333333333333334";"0.16666666666666666";"1"
"C";"F";"monique6@mineriadedatos.com.ar";"40000";"2";"Licenciatura";"Gesti�n";"1";"1";"0-1 Km.";"Sur";"59";"1.0";"0.0";"1"
"C";"F";"tabitha25@mineriadedatos.com.ar";"130000";"3";"Estudios universitarios (en curso)";"Profesional";"1";"3";"0-1 Km.";"Centro";"57";"1.0";"0.0";"1"
"C";"M";"theodore15@mineriadedatos.com.ar";"130000";"3";"Estudios universitarios (en curso)";"Profesional";"1";"3";"0-1 Km.";"Centro";"58";"1.0";"0.0";"1"
"S";"M";"miguel28@mineriadedatos.com.ar";"70000";"0";"Licenciatura";"Profesional";"0";"2";"5-10 Km.";"Sur";"36";"1.0";"0.0";"1"
"S";"M";"pedro20@mineriadedatos.com.ar";"20000";"2";"Educaci�n secundaria (en curso)";"Administrativo";"1";"2";"5-10 Km.";"Sur";"64";"0.6666666666666666";"0.3333333333333333";"1"
"S";"F";"lori9@mineriadedatos.com.ar";"70000";"0";"Licenciatura";"Profesional";"0";"2";"0-1 Km.";"Sur";"49";"1.0";"0.0";"1"
"C";"M";"alberto10@mineriadedatos.com.ar";"40000";"1";"Licenciatura";"Obrero especializado";"1";"0";"0-1 Km.";"Centro";"47";"0.6666666666666666";"0.3333333333333333";"1"
"C";"M";"jackson7@mineriadedatos.com.ar";"40000";"3";"Estudios universitarios (en curso)";"Profesional";"0";"2";"1-2 Km.";"Norte";"61";"1.0";"0.0";"1"
"C";"F";"gabrielle18@mineriadedatos.com.ar";"10000";"2";"Educaci�n secundaria";"Obrero";"0";"2";"0-1 Km.";"Norte";"60";"0.5";"0.5";"1"
"C";"M";"lucas91@mineriadedatos.com.ar";"70000";"4";"Licenciatura";"Gesti�n";"1";"1";"10+ Km.";"Norte";"66";"1.0";"0.0";"1"
"S";"M";"barry15@mineriadedatos.com.ar";"60000";"2";"Estudios universitarios (en curso)";"Profesional";"0";"1";"2-5 Km.";"Norte";"62";"0.8333333333333334";"0.16666666666666666";"1"
"C";"M";"robert33@mineriadedatos.com.ar";"60000";"2";"Estudios universitarios (en curso)";"Profesional";"1";"2";"2-5 Km.";"Norte";"63";"0.6666666666666666";"0.3333333333333333";"1"
"C";"F";"audrey15@mineriadedatos.com.ar";"30000";"1";"Licenciatura";"Obrero especializado";"1";"1";"1-2 Km.";"Norte";"59";"0.6666666666666666";"0.3333333333333333";"1"
"S";"F";"lacey15@mineriadedatos.com.ar";"130000";"0";"Estudios de postgrado";"Gesti�n";"0";"3";"0-1 Km.";"Sur";"55";"0.75";"0.25";"1"
"C";"M";"kevin52@mineriadedatos.com.ar";"60000";"1";"Licenciatura";"Profesional";"1";"1";"2-5 Km.";"Norte";"55";"0.5625";"0.4375";"1"
"S";"F";"kari41@mineriadedatos.com.ar";"80000";"0";"Licenciatura";"Profesional";"0";"2";"10+ Km.";"Sur";"36";"0.8";"0.2";"1"
"S";"M";"gerald35@mineriadedatos.com.ar";"20000";"2";"Estudios universitarios (en curso)";"Obrero";"1";"1";"2-5 Km.";"Centro";"53";"0.7567567567567568";"0.24324324324324326";"1"
"C";"M";"antonio0@mineriadedatos.com.ar";"40000";"1";"Estudios universitarios (en curso)";"Administrativo";"1";"1";"1-2 Km.";"Norte";"57";"0.6666666666666666";"0.3333333333333333";"1"
"S";"F";"stacey12@mineriadedatos.com.ar";"30000";"3";"Estudios universitarios (en curso)";"Administrativo";"1";"0";"0-1 Km.";"Centro";"50";"0.7878787878787878";"0.21212121212121213";"1"
"S";"M";"edwin43@mineriadedatos.com.ar";"80000";"2";"Educaci�n secundaria";"Profesional";"0";"2";"5-10 Km.";"Sur";"56";"0.5776173285198556";"0.4223826714801444";"1"
"C";"F";"lacey4@mineriadedatos.com.ar";"100000";"0";"Educaci�n secundaria (en curso)";"Profesional";"1";"4";"10+ Km.";"Sur";"43";"0.5776173285198556";"0.4223826714801444";"1"
"C";"M";"jose44@mineriadedatos.com.ar";"40000";"1";"Licenciatura";"Obrero especializado";"1";"0";"0-1 Km.";"Norte";"43";"0.8333333333333334";"0.16666666666666666";"1"
"S";"F";"grace38@mineriadedatos.com.ar";"60000";"0";"Estudios universitarios (en curso)";"Profesional";"0";"2";"1-2 Km.";"Norte";"38";"1.0";"0.0";"1"
"C";"F";"victoria59@mineriadedatos.com.ar";"50000";"1";"Licenciatura";"Obrero especializado";"1";"0";"2-5 Km.";"Norte";"42";"0.9038461538461539";"0.09615384615384616";"1"
"C";"F";"daisy4@mineriadedatos.com.ar";"40000";"2";"Estudios universitarios (en curso)";"Administrativo";"1";"0";"1-2 Km.";"Centro";"43";"0.9166666666666666";"0.08333333333333333";"1"
"S";"F";"alyssa15@mineriadedatos.com.ar";"40000";"3";"Estudios universitarios (en curso)";"Administrativo";"1";"1";"1-2 Km.";"Norte";"38";"1.0";"0.0";"1"
"C";"M";"jonathan54@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"0";"1";"0-1 Km.";"Norte";"52";"0.6097560975609756";"0.3902439024390244";"1"
"S";"F";"kristen17@mineriadedatos.com.ar";"80000";"2";"Educaci�n secundaria";"Obrero especializado";"0";"2";"1-2 Km.";"Sur";"56";"0.5776173285198556";"0.4223826714801444";"1"
"C";"M";"marcus3@mineriadedatos.com.ar";"60000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"0";"1";"0-1 Km.";"Norte";"51";"0.6097560975609756";"0.3902439024390244";"1"
"S";"F";"katherine59@mineriadedatos.com.ar";"40000";"0";"Licenciatura";"Profesional";"0";"1";"0-1 Km.";"Norte";"48";"0.5";"0.5";"1"
"S";"M";"noah43@mineriadedatos.com.ar";"130000";"1";"Estudios de postgrado";"Gesti�n";"0";"4";"1-2 Km.";"Norte";"47";"1.0";"0.0";"1"
"S";"M";"preston0@mineriadedatos.com.ar";"10000";"2";"Licenciatura";"Administrativo";"1";"1";"0-1 Km.";"Centro";"76";"0.5";"0.5";"1"
"S";"F";"jill25@mineriadedatos.com.ar";"50000";"0";"Estudios de postgrado";"Obrero especializado";"0";"0";"0-1 Km.";"Centro";"44";"0.8701298701298701";"0.12987012987012986";"1"
"S";"M";"lucas0@mineriadedatos.com.ar";"60000";"0";"Estudios universitarios (en curso)";"Obrero especializado";"1";"2";"5-10 Km.";"Norte";"34";"1.0";"0.0";"1"
"C";"F";"tamara24@mineriadedatos.com.ar";"40000";"0";"Licenciatura";"Profesional";"1";"0";"0-1 Km.";"Centro";"46";"0.6666666666666666";"0.3333333333333333";"1"
"S";"M";"terrence23@mineriadedatos.com.ar";"40000";"2";"Estudios universitarios (en curso)";"Administrativo";"1";"1";"1-2 Km.";"Centro";"42";"0.9166666666666666";"0.08333333333333333";"1"
"C";"F";"katrina15@mineriadedatos.com.ar";"110000";"0";"Educaci�n secundaria";"Gesti�n";"1";"3";"10+ Km.";"Sur";"40";"0.5776173285198556";"0.4223826714801444";"1"
"C";"F";"mariah10@mineriadedatos.com.ar";"80000";"0";"Licenciatura";"Gesti�n";"0";"1";"0-1 Km.";"Norte";"45";"0.6384615384615384";"0.36153846153846153";"1"
